,property_type,sector,price,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
1360,flat,sector 99,1.1,2.0,2.0,3,9.0,New Property,1368.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0
1361,flat,sector 82a,1.87,3.0,3.0,3,31.0,Moderately Old,1668.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0
1362,flat,sector 67,2.98,3.0,3.0,3,0.0,Relatively New,2047.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0
1363,house,sector 53,4.65,5.0,5.0,3+,1.0,Moderately Old,2646.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1364,flat,sector 49,4.16,5.0,4.0,3+,14.0,Relatively New,3219.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0
1365,flat,sector 70a,2.75,3.0,3.0,3+,14.0,Relatively New,2150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1366,flat,sector 81,2.25,3.0,3.0,3+,11.0,Relatively New,1600.0,1.0,1.0,0.0,1.0,1.0,2.0,49.0
1367,flat,sohna road,0.3,2.0,2.0,1,11.0,New Property,650.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
1368,house,sector 110,1.0,3.0,2.0,2,1.0,Old Property,120.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1369,flat,sector 113,2.0,3.0,3.0,3,12.0,New Property,1806.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
1370,flat,sector 113,2.7,3.0,4.0,3+,4.0,Relatively New,2217.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0
1371,flat,sector 113,1.38,2.0,2.0,3,8.0,New Property,1350.0,1.0,0.0,0.0,0.0,0.0,0.0,174.0
1372,flat,sector 77,1.05,3.0,3.0,3,7.0,Relatively New,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
1373,flat,sector 103,1.5,3.0,3.0,3+,6.0,Under Construction,1741.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
1374,flat,sector 60,2.5,2.0,3.0,2,4.0,Relatively New,1403.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0
1375,flat,sector 56,1.65,3.0,3.0,3+,5.0,Moderately Old,2131.0,1.0,0.0,0.0,0.0,0.0,1.0,134.0
1376,flat,sector 111,3.45,4.0,5.0,3+,10.0,Relatively New,2670.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0
1377,flat,sector 65,1.3,2.0,2.0,2,7.0,Relatively New,812.0,1.0,0.0,0.0,0.0,0.0,0.0,78.0
1378,flat,sector 89,0.95,2.0,2.0,2,1.0,Under Construction,804.0,1.0,0.0,0.0,0.0,0.0,0.0,122.0
1379,flat,sector 70,1.25,2.0,2.0,3,3.0,Relatively New,1222.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0
1380,flat,sector 49,2.23,3.0,3.0,3,14.0,Relatively New,1840.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0
